WORKSHEET NO:;bugatti;SUPP:;DATE;GROUP;DELIVERY;STYLE NO:;DELIVERY TO:;COMBINATION :;ARTICLE;LAST/ SIZE;CODE;EAS from OLAP:;ORDER NO:;material1;color1;supplier1;material2;color2;supplier2;material3;color3;supplier3;material4;color4;supplier4;LINING material;colour;Supplier;Composition;BORDER material;colour;Supplier;;LINING warm    (yes/no);EVA CUP     (yes/no);INSOCK material;colour;Insock Stitching;colour;Supplier;Composition;LABEL INSOCK;colour;INSOCK warm         (yes/no);removable(yes/no);OUTSOLE /NAME;OUTSOLE /colour;Material;Supplier;INSOLE;Supplier;SIDE LOGO;TOE  SPRING;;HEEL HEIGHT;LACES /ELASTIC;colour;EYELETS ;colour;STITCHING;HAND STITCH.;DECO STITCHING;EMBROIDERY;FINISH;LAST WIDTH;COUNTER STIFFENER;TOE PUFF;UPPER HEIGHT;UPPER WIDTH;HANG TAG;BUCKLE / VELCRO;;colour;;;;;
VB-076-FS 2015;city men                  51;300;9/3/2014;Hugon LC;;8013;Fix in Pirmasens;;311 129 01 1100 6300; PH8189 Hugon LC  42;;13 Herren Schnürer;;Cow Eco Wash;natural to cognac;Veda Exim;;;;;;;;;;Synthetic dora pu perforated;marine;Wilhelm;SF 9 Synthetik Dora PU marine / K19 ocean;;;;;NO;NO;Indian Genial insole cow leather;marine;TKT40; Z1036;Zah Nero / 300;leather;bugatti  GENIAL  INSOLE;black;NO;YES;Hugon LC Sample;natural,Inlay:natural, welt:Tdm , Vinere:natural toplift colored : blue;Laether / PVC;S.G.M;flexi;300;colored hot stamp blue;18mm;;23mm;2,0 mm round waxed cotton;d`blue & brown;blind eyelets  ;;TKT40 Z548;Z600;TKT20 Z548;;like ws 816 see att pic;Normal;Thermo plastic 1,0 mm (Ago);soft;;;Genial insole / Easy change / hand finish;;;;;;;;
WORKSHEET NO:;bugatti;SUPP:;DATE;GROUP;DELIVERY;STYLE NO:;DELIVERY TO:;COMBINATION :;ARTICLE;LAST/ SIZE;CODE;EAS from OLAP:;ORDER NO:;material1;color1;supplier1;material2;color2;supplier2;material3;color3;supplier3;material4;color4;supplier4;LINING material;colour;Supplier;Composition;BORDER material;colour;Supplier;;LINING warm    (yes/no);EVA CUP     (yes/no);INSOCK material;colour;Insock Stitching;colour;Supplier;Composition;LABEL INSOCK;colour;INSOCK warm         (yes/no);removable(yes/no);OUTSOLE /NAME;OUTSOLE /colour;Material;Supplier;INSOLE;Supplier;SIDE LOGO;TOE  SPRING;;HEEL HEIGHT;LACES /ELASTIC;colour;EYELETS ;colour;STITCHING;HAND STITCH.;DECO STITCHING;EMBROIDERY;FINISH;LAST WIDTH;COUNTER STIFFENER;TOE PUFF;UPPER HEIGHT;UPPER WIDTH;HANG TAG;BUCKLE / VELCRO;;colour;;;;;
VB-078-FS 2015;city men                  51;300;9/3/2014;Hugon LC;;8013;Fix in Pirmasens;;311 129 01 1100 6400; PH8189 Hugon LC  42;;13 Herren Schnürer;;Cow Eco Wash;natural to mid brown;Veda Exim;;;;;;;;;;Synthetic dora pu perforated;marine;Wilhelm;SF 9 Synthetik Dora PU marine / K19 ocean;;;;;NO;NO;Indian Genial insole cow leather;marine;TKT40; Z1036;Zah Nero / 300;leather;bugatti  GENIAL  INSOLE;black;NO;YES;Hugon LC Sample;natural,Inlay:natural, welt:Tdm , Vinere:natural toplift colored : blue;Laether / PVC;S.G.M;flexi;300;colored hot stamp blue;18mm;;23mm;2,0 mm round waxed cotton;d`blue & tdm;blind eyelets  ;;TKT40 Z868;Z600;TKT20 Z868;;like ws 817 - see att pic;Normal;Thermo plastic 1,0 mm (Ago);soft;;;Genial insole / Easy change / hand finish;;;;;;;;
